wavelength_nm,irradiance_W_m2_nm,photon_flux
361.5,0.50956,9.27314e+17
362,0.5342,9.735e+17
362.5,0.5851,1.06773e+18
363,0.60191,1.09992e+18
363.5,0.58541,1.07124e+18
364,0.60628,1.11096e+18
364.5,0.60058,1.10203e+18
365,0.62359,1.14582e+18
365.5,0.68628,1.26273e+18
366,0.73532,1.35482e+18
366.5,0.73658,1.35899e+18
367,0.72285,1.33548e+18
367.5,0.70914,1.31194e+18
368,0.66759,1.23675e+18
368.5,0.6631,1.2301e+18
369,0.69315,1.28759e+18
369.5,0.74469,1.3852e+18
370,0.75507,1.40641e+18
370.5,0.68261,1.27316e+18
371,0.69338,1.295e+18
371.5,0.72051,1.34748e+18
372,0.67444,1.26302e+18
372.5,0.64253,1.20488e+18
373,0.61886,1.16205e+18
373.5,0.55786,1.04891e+18
374,0.5564,1.04757e+18
374.5,0.55227,1.04118e+18
375,0.5893,1.11248e+18
375.5,0.65162,1.23176e+18
376,0.6748,1.27728e+18
376.5,0.6639,1.25832e+18
377,0.71225,1.35175e+18
377.5,0.79455,1.50995e+18
378,0.85595,1.62878e+18
378.5,0.83418,1.58946e+18
379,0.74389,1.41929e+18
379.5,0.66683,1.27394e+18
380,0.70077,1.34055e+18
380.5,0.75075,1.43805e+18
381,0.76383,1.46502e+18
381.5,0.68837,1.32202e+18
382,0.58678,1.1284e+18
382.5,0.50762,9.77448e+17
383,0.45499,8.77251e+17
383.5,0.44049,8.50403e+17
384,0.50968,9.85263e+17
384.5,0.61359,1.18768e+18
385,0.67355,1.30543e+18
385.5,0.64363,1.24906e+18
386,0.621,1.20671e+18
386.5,0.6457,1.25633e+18
387,0.65147,1.2692e+18
387.5,0.64204,1.25244e+18
388,0.63582,1.24191e+18
388.5,0.63136,1.23478e+18
389,0.68543,1.34226e+18
389.5,0.7597,1.48961e+18
390,0.79699,1.56474e+18
390.5,0.80371,1.57995e+18
391,0.85138,1.6758e+18
391.5,0.86344,1.70172e+18
392,0.79493,1.56869e+18
392.5,0.66257,1.30917e+18
393,0.47975,9.49141e+17
393.5,0.38152,7.55762e+17
394,0.49567,9.83133e+17
394.5,0.68385,1.3581e+18
395,0.80772,1.60613e+18
395.5,0.86038,1.71301e+18
396,0.75655,1.50819e+18
396.5,0.55017,1.09815e+18
397,0.42619,8.5176e+17
397.5,0.62945,1.25957e+18
398,0.85249,1.70803e+18
398.5,1.0069,2.01994e+18
399,1.0693,2.14781e+18
399.5,1.1021,2.21647e+18
400,1.1141,2.2434e+18
401,1.1603,2.34228e+18
402,1.2061,2.4408e+18
403,1.1613,2.35599e+18
404,1.1801,2.40007e+18
405,1.1511,2.34688e+18
406,1.1227,2.29463e+18
407,1.1026,2.2591e+18
408,1.1514,2.36488e+18
409,1.2299,2.53231e+18
410,1.0485,2.16409e+18
411,1.1738,2.42862e+18
412,1.2478,2.58801e+18
413,1.1971,2.48888e+18
414,1.1842,2.46802e+18
415,1.2258,2.56089e+18
416,1.2624,2.64371e+18
417,1.2312,2.58457e+18
418,1.1777,2.47819e+18
419,1.2258,2.58557e+18
420,1.1232,2.37481e+18
421,1.2757,2.70367e+18
422,1.2583,2.67313e+18
423,1.2184,2.5945e+18
424,1.2117,2.58633e+18
425,1.2488,2.67181e+18
426,1.2135,2.60239e+18
427,1.1724,2.52015e+18
428,1.1839,2.55083e+18
429,1.0963,2.36761e+18
430,0.87462,1.89326e+18
431,0.79394,1.72262e+18
432,1.3207,2.87218e+18
433,1.2288,2.6785e+18
434,1.1352,2.48019e+18
435,1.2452,2.72679e+18
436,1.3659,2.99798e+18
437,1.3943,3.06733e+18
438,1.2238,2.69841e+18
439,1.1775,2.60225e+18
440,1.3499,2.99004e+18
441,1.3313,2.95555e+18
442,1.425,3.17074e+18
443,1.4453,3.22318e+18
444,1.4084,3.14798e+18
445,1.4619,3.27492e+18
446,1.3108,2.94303e+18
447,1.4903,3.35355e+18
448,1.5081,3.40119e+18
449,1.5045,3.40065e+18
450,1.5595,3.53282e+18
451,1.6173,3.6719e+18
452,1.5482,3.52281e+18
453,1.4297,3.26037e+18
454,1.5335,3.5048e+18
455,1.5224,3.48709e+18
456,1.5724,3.60953e+18
457,1.5854,3.64736e+18
458,1.5514,3.57695e+18
459,1.5391,3.55634e+18
460,1.5291,3.54093e+18
461,1.5827,3.67302e+18
462,1.5975,3.7154e+18
463,1.6031,3.7365e+18
464,1.5544,3.63081e+18
465,1.535,3.59323e+18
466,1.5673,3.67673e+18
467,1.4973,3.52005e+18
468,1.5619,3.67978e+18
469,1.5682,3.70252e+18
470,1.5077,3.56727e+18
471,1.5331,3.63509e+18
472,1.6126,3.8317e+18
473,1.5499,3.69052e+18
474,1.5671,3.73937e+18
475,1.6185,3.87017e+18
476,1.5631,3.74556e+18
477,1.5724,3.77576e+18
478,1.623,3.90544e+18
479,1.5916,3.83789e+18
480,1.6181,3.90994e+18
481,1.6177,3.91712e+18
482,1.6236,3.93958e+18
483,1.6038,3.8996e+18
484,1.5734,3.83361e+18
485,1.5683,3.82908e+18
486,1.2716,3.11107e+18
487,1.4241,3.49134e+18
488,1.5413,3.78643e+18
489,1.4519,3.57412e+18
490,1.6224,4.002e+18
491,1.5595,3.8547e+18
492,1.4869,3.68273e+18
493,1.5903,3.94684e+18
494,1.5525,3.86084e+18
495,1.6485,4.10788e+18
496,1.5676,3.91418e+18
497,1.5944,3.98912e+18
498,1.5509,3.88809e+18
499,1.5507,3.8954e+18
500,1.5451,3.88911e+18
501,1.4978,3.77759e+18
502,1.4966,3.7821e+18
503,1.5653,3.96359e+18
504,1.4587,3.70101e+18
505,1.5635,3.97478e+18
506,1.6264,4.14287e+18
507,1.556,3.97137e+18
508,1.5165,3.87819e+18
509,1.5893,4.07237e+18
510,1.5481,3.97459e+18
511,1.5769,4.05647e+18
512,1.6186,4.17189e+18
513,1.5206,3.92695e+18
514,1.4885,3.85155e+18
515,1.5314,3.97026e+18
516,1.5455,4.0146e+18
517,1.2594,3.27776e+18
518,1.4403,3.75583e+18
519,1.3957,3.64655e+18
520,1.5236,3.98839e+18
521,1.5346,4.02491e+18
522,1.569,4.12303e+18
523,1.4789,3.89371e+18
524,1.5905,4.19554e+18
525,1.5781,4.17078e+18
526,1.5341,4.06221e+18
527,1.3417,3.5595e+18
528,1.5357,4.08191e+18
529,1.6071,4.27978e+18
530,1.5446,4.12112e+18
531,1.6292,4.35504e+18
532,1.5998,4.2845e+18
533,1.4286,3.8332e+18
534,1.5302,4.11351e+18
535,1.5535,4.18397e+18
536,1.6199,4.37095e+18
537,1.4989,4.05201e+18
538,1.5738,4.26241e+18
539,1.5352,4.1656e+18
540,1.4825,4.03006e+18
541,1.4251,3.8812e+18
542,1.5511,4.23216e+18
543,1.5256,4.17027e+18
544,1.5792,4.32473e+18
545,1.5435,4.23474e+18
546,1.5291,4.20293e+18
547,1.549,4.26542e+18
548,1.5049,4.15156e+18
549,1.552,4.28931e+18
550,1.5399,4.26362e+18
551,1.5382,4.26666e+18
552,1.5697,4.36193e+18
553,1.525,4.2454e+18
554,1.5549,4.33646e+18
555,1.5634,4.36804e+18
556,1.5366,4.3009e+18
557,1.4988,4.20264e+18
558,1.531,4.30064e+18
559,1.4483,4.07562e+18
560,1.474,4.15536e+18
561,1.5595,4.40424e+18
562,1.4847,4.20047e+18
563,1.5408,4.36695e+18
564,1.5106,4.28896e+18
565,1.5201,4.32358e+18
566,1.4374,4.0956e+18
567,1.532,4.37286e+18
568,1.518,4.34054e+18
569,1.4807,4.24134e+18
570,1.4816,4.25137e+18
571,1.4331,4.11942e+18
572,1.5134,4.35786e+18
573,1.5198,4.38394e+18
574,1.5119,4.36876e+18
575,1.4777,4.27738e+18
576,1.4654,4.24915e+18
577,1.5023,4.36371e+18
578,1.456,4.23655e+18
579,1.477,4.30509e+18
580,1.502,4.38552e+18
581,1.5089,4.41326e+18
582,1.532,4.48854e+18
583,1.5479,4.54292e+18
584,1.5448,4.5416e+18
585,1.5324,4.51285e+18
586,1.4953,4.41112e+18
587,1.5281,4.51558e+18
588,1.4934,4.42055e+18
589,1.2894,3.82319e+18
590,1.3709,4.07175e+18
591,1.4662,4.36218e+18
592,1.4354,4.27778e+18
593,1.4561,4.3468e+18
594,1.4491,4.33319e+18
595,1.4308,4.28567e+18
596,1.4745,4.42399e+18
597,1.4788,4.44434e+18
598,1.4607,4.39729e+18
599,1.4606,4.40435e+18
600,1.4753,4.4561e+18
601,1.4579,4.41088e+18
602,1.436,4.35185e+18
603,1.4664,4.45136e+18
604,1.4921,4.53689e+18
605,1.4895,4.53648e+18
606,1.4822,4.52171e+18
607,1.4911,4.55637e+18
608,1.4862,4.54888e+18
609,1.4749,4.52171e+18
610,1.4686,4.50979e+18
611,1.4611,4.49412e+18
612,1.4831,4.56925e+18
613,1.4621,4.51191e+18
614,1.4176,4.38173e+18
615,1.4697,4.55016e+18
616,1.431,4.43755e+18
617,1.4128,4.38823e+18
618,1.4664,4.56209e+18
619,1.4733,4.59098e+18
620,1.4739,4.60027e+18
621,1.4802,4.62738e+18
622,1.4269,4.46794e+18
623,1.4165,4.4425e+18
624,1.4118,4.43487e+18
625,1.4026,4.41303e+18
626,1.4012,4.41568e+18
627,1.4417,4.55057e+18
628,1.3631,4.30934e+18
629,1.4114,4.46914e+18
630,1.3924,4.41599e+18
631,1.4161,4.49828e+18
632,1.3638,4.33901e+18
633,1.4508,4.62311e+18
634,1.4284,4.55892e+18
635,1.4458,4.62174e+18
636,1.4128,4.52336e+18
637,1.461,4.68504e+18
638,1.4707,4.72354e+18
639,1.4646,4.71133e+18
640,1.434,4.62011e+18
641,1.4348,4.62991e+18
642,1.4376,4.64618e+18
