generation,cell,method,true_E60,gain_vs_cell_mean_pct,verdict
v2,jitter_s015,gradient,2.6508,1.813,CLAIMABLE
v2,jitter_s015,cmaes,2.62,0.63,CLAIMABLE
v2,jitter_s015,gradient,2.66699,2.435,CLAIMABLE
v2,jitter_s015,gradient,2.64727,1.677,CLAIMABLE
v2,jitter_s015,gradient,2.65622,2.021,CLAIMABLE
v2,jitter_s015,gradient,2.64357,1.535,CLAIMABLE
v2,jitter_s015,cmaes,2.64851,1.725,CLAIMABLE
v2,jitter_s015,gradient,2.63652,1.265,CLAIMABLE
v2,jitter_s015,gradient,2.64725,1.677,CLAIMABLE
v2,jitter_s015,gradient,2.65428,1.947,CLAIMABLE
v2,radius_s015,cmaes,2.65243,2.038,CLAIMABLE
v2,radius_s015,cmaes,2.65111,1.987,CLAIMABLE
v2,radius_s015,cmaes,2.6446,1.737,CLAIMABLE
v2,radius_s015,cmaes,2.64564,1.777,CLAIMABLE
v2,radius_s015,cmaes,2.65335,2.073,CLAIMABLE
v2,radius_s015,cmaes,2.65425,2.108,CLAIMABLE
v2,radius_s015,cmaes,2.64471,1.741,CLAIMABLE
v2,radius_s015,gradient,2.65471,2.126,CLAIMABLE
v2,radius_s015,cmaes,2.65043,1.961,CLAIMABLE
v2,radius_s015,gradient,2.64431,1.725,CLAIMABLE
v2,radius_s015,gradient,2.64438,1.728,CLAIMABLE
v2,radius_s015,gradient,2.65245,2.039,CLAIMABLE
v2,radius_s015,cmaes,2.64984,1.938,CLAIMABLE
v2,radius_s015,gradient,2.64617,1.797,CLAIMABLE
v2,radius_s015,gradient,2.64455,1.735,CLAIMABLE
v2,radius_s015,gradient,2.64872,1.895,CLAIMABLE
v2,radius_s015,gradient,2.64985,1.939,CLAIMABLE
v2,radius_s015,cmaes,2.64665,1.815,CLAIMABLE
v2,radius_s015,gradient,2.64666,1.816,CLAIMABLE
v2,radius_s015,cmaes,2.64631,1.803,CLAIMABLE
v2,radius_s020,cmaes,2.66399,2.313,CLAIMABLE
v2,radius_s020,cmaes,2.65861,2.107,CLAIMABLE
v2,radius_s020,cmaes,2.64858,1.722,CLAIMABLE
v2,radius_s020,cmaes,2.65278,1.883,CLAIMABLE
v2,radius_s020,cmaes,2.65373,1.919,CLAIMABLE
v2,radius_s020,cmaes,2.64711,1.665,CLAIMABLE
v2,radius_s020,cmaes,2.63982,1.385,CLAIMABLE
v2,radius_s020,cmaes,2.65118,1.821,CLAIMABLE
v2,radius_s020,gradient,2.66025,2.17,CLAIMABLE
v2,radius_s020,cmaes,2.64685,1.655,CLAIMABLE
v2,radius_s020,cmaes,2.65749,2.064,CLAIMABLE
v2,radius_s020,cmaes,2.65358,1.913,CLAIMABLE
v2,radius_s020,gradient,2.65864,2.108,CLAIMABLE
v2,radius_s020,cmaes,2.63391,1.158,CLAIMABLE
v2,radius_s020,gradient,2.6457,1.611,CLAIMABLE
v2,radius_s020,gradient,2.65098,1.814,CLAIMABLE
v2,radius_s020,gradient,2.65065,1.801,CLAIMABLE
v2,radius_s020,gradient,2.65013,1.781,CLAIMABLE
v2,radius_s020,gradient,2.64774,1.689,CLAIMABLE
v2,radius_s020,gradient,2.64737,1.675,CLAIMABLE
v2,radius_s025,cmaes,2.65518,2.534,CLAIMABLE
v2,radius_s025,cmaes,2.65644,2.582,CLAIMABLE
v2,radius_s025,cmaes,2.65249,2.43,CLAIMABLE
v2,radius_s025,cmaes,2.63608,1.796,CLAIMABLE
v2,radius_s025,cmaes,2.64988,2.329,CLAIMABLE
v2,radius_s025,cmaes,2.64279,2.055,CLAIMABLE
v2,radius_s025,cmaes,2.63255,1.66,CLAIMABLE
v2,radius_s025,gradient,2.65008,2.337,CLAIMABLE
v2,radius_s025,cmaes,2.64271,2.052,CLAIMABLE
v2,radius_s025,cmaes,2.65268,2.437,CLAIMABLE
v2,radius_s025,gradient,2.64986,2.328,CLAIMABLE
v2,radius_s025,cmaes,2.64104,1.988,CLAIMABLE
v2,radius_s025,cmaes,2.63841,1.886,CLAIMABLE
v2,radius_s025,cmaes,2.63552,1.775,CLAIMABLE
v2,radius_s025,gradient,2.64717,2.225,CLAIMABLE
v2,radius_s025,gradient,2.64591,2.176,CLAIMABLE
v2,radius_s025,gradient,2.6321,1.643,CLAIMABLE
v2,radius_s025,gradient,2.63841,1.886,CLAIMABLE
v2,radius_s025,gradient,2.65371,2.477,CLAIMABLE
v2,radius_s025,gradient,2.6336,1.701,CLAIMABLE
