block,row,dir,set,tta,status,n,mae,rmse,rho_pooled,rms_s_over_rmse,picp_1s,picp_2s,picp_3s,mean_E,se_E,max_E,n_claimable,true_col
surrogate,#15 cell holdout (jitter_s0125),holdout_jitter_s0125,holdout_jitter_s0125,on,done,155,0.0055586169473826885,0.0069608003832399845,0.6841577777061648,1.0846192569609527,0.7354838709677419,0.9741935483870968,0.9935483870967742,,,,,
surrogate,#15 cell holdout (jitter_s0125),holdout_jitter_s0125,test,off,done,257,0.005496841389685869,0.006991479080170393,0.6769220787564743,0.9699581466392195,0.6614785992217899,0.9455252918287937,0.9961089494163424,,,,,
surrogate,#15 cell holdout (jitter_s0125),holdout_jitter_s0125,test,on,done,257,0.005449462216347456,0.006943971384316683,0.6829381137147579,0.9798931938668454,0.6653696498054474,0.9455252918287937,0.9961089494163424,,,,,
fdtd,production LCB k=0.2 (jitter_s015),,,,done,20,,,,,,,,2.647203,0.0025276935711184825,2.66753,20,true_E60
fdtd,#5 kappa=0 (jitter_s015),,,,done,20,,,,,,,,2.65025,0.002014026472412647,2.66183,20,true_E60
fdtd,#26 screen-only (jitter_s015),,,,done,20,,,,,,,,2.6171265,0.001340282035323358,2.62959,17,true_E60
fdtd,#7 single member (jitter_s015),,,,done,20,,,,,,,,2.6492895,0.0014837770926006172,2.6636,20,true_E60
fdtd,#6 random (jitter_s006),,,,done,20,,,,,,,,2.6127745,0.0018959765536802591,2.62416,2,true_E60
fdtd,    optimizer ref (jitter_s006),,,,done,20,,,,,,,,2.6392965000000004,0.0015177945001668945,2.65079,20,true_E60
fdtd,#6 random (jitter_s008),,,,done,20,,,,,,,,2.623532,0.0017968443976799089,2.63413,2,true_E60
fdtd,    optimizer ref (jitter_s008),,,,done,20,,,,,,,,2.6480919999999997,0.0017192165596420397,2.66569,20,true_E60
fdtd,#6 random (jitter_s010),,,,done,20,,,,,,,,2.618894,0.0021441080098480994,2.63511,3,true_E60
fdtd,    optimizer ref (jitter_s010),,,,done,20,,,,,,,,2.6481985,0.0018398345570644075,2.66264,20,true_E60
fdtd,#6 random (jitter_s0125),,,,done,20,,,,,,,,2.6148239999999996,0.002040329359377267,2.62746,5,true_E60
fdtd,    optimizer ref (jitter_s0125),,,,done,20,,,,,,,,2.645033,0.0016782467511944593,2.66086,20,true_E60
fdtd,#6 random (jitter_s015),,,,done,20,,,,,,,,2.602852,0.002086657942361673,2.62142,2,true_E60
fdtd,    optimizer ref (jitter_s015),,,,done,20,,,,,,,,2.647203,0.0025276935711184825,2.66753,20,true_E60
fdtd,#6 random (radius_s015),,,,done,20,,,,,,,,2.6008629999999995,0.00182923525867478,2.61616,4,true_E60
fdtd,    optimizer ref (radius_s015),,,,done,20,,,,,,,,2.648556,0.0008033762309286084,2.65471,20,true_E60
fdtd,#6 random (radius_s020),,,,done,20,,,,,,,,2.6033595000000003,0.0019560059297886686,2.61919,6,true_E60
fdtd,    optimizer ref (radius_s020),,,,done,20,,,,,,,,2.6509544999999997,0.0015711367783601074,2.66399,20,true_E60
fdtd,#6 random (radius_s025),,,,done,20,,,,,,,,2.5922345,0.0026515897391445804,2.62152,6,true_E60
fdtd,    optimizer ref (radius_s025),,,,done,20,,,,,,,,2.6443305,0.0017982013637901678,2.65644,20,true_E60
